sample,batch
GSE80417_9806233080_R01C02,GSE80417
GSE80417_9806233080_R02C02,GSE80417
GSE80417_9806233080_R03C01,GSE80417
GSE80417_9806233080_R03C02,GSE80417
GSE80417_9806233080_R04C01,GSE80417
GSE80417_9806233080_R04C02,GSE80417
GSE80417_9806233080_R05C01,GSE80417
GSE80417_9806233080_R05C02,GSE80417
GSE80417_9806233080_R06C01,GSE80417
GSE80417_9806233080_R06C02,GSE80417
GSE80417_9828653007_R01C01,GSE80417
GSE80417_9828653007_R01C02,GSE80417
GSE80417_9828653007_R02C01,GSE80417
GSE80417_9828653007_R03C02,GSE80417
GSE80417_9828653007_R04C01,GSE80417
GSE80417_9828653007_R04C02,GSE80417
GSE80417_9828653007_R05C02,GSE80417
GSE80417_9828653007_R06C01,GSE80417
GSE80417_9828653008_R02C02,GSE80417
GSE80417_9828653008_R03C01,GSE80417
GSE80417_9828653008_R03C02,GSE80417
GSE80417_9828653008_R04C01,GSE80417
GSE80417_9828653008_R04C02,GSE80417
GSE80417_9828653008_R05C01,GSE80417
GSE80417_9828653008_R06C01,GSE80417
GSE80417_9828653008_R06C02,GSE80417
GSE80417_9828653035_R01C01,GSE80417
GSE80417_9828653035_R02C01,GSE80417
GSE80417_9828653035_R03C02,GSE80417
GSE80417_9828653035_R04C01,GSE80417
GSE80417_9828653035_R04C02,GSE80417
GSE80417_9828653035_R05C01,GSE80417
GSE80417_9828653035_R05C02,GSE80417
GSE80417_9828653035_R06C01,GSE80417
GSE80417_9828653035_R06C02,GSE80417
GSE80417_9828653039_R01C01,GSE80417
GSE80417_9828653039_R01C02,GSE80417
GSE80417_9828653039_R02C01,GSE80417
GSE80417_9828653039_R02C02,GSE80417
GSE80417_9828653039_R03C01,GSE80417
GSE80417_9828653039_R03C02,GSE80417
GSE80417_9828653039_R04C02,GSE80417
GSE80417_9828653039_R05C01,GSE80417
GSE80417_9828653039_R05C02,GSE80417
GSE80417_9828653039_R06C02,GSE80417
GSE80417_9828653080_R02C01,GSE80417
GSE80417_9828653080_R02C02,GSE80417
GSE80417_9828653080_R03C01,GSE80417
GSE80417_9828653080_R03C02,GSE80417
GSE80417_9828653080_R04C01,GSE80417
GSE80417_9828653080_R05C01,GSE80417
GSE80417_9828653080_R05C02,GSE80417
GSE80417_9828653080_R06C01,GSE80417
GSE80417_9828653080_R06C02,GSE80417
GSE80417_9828653144_R01C01,GSE80417
GSE80417_9828653144_R01C02,GSE80417
GSE80417_9828653144_R02C01,GSE80417
GSE80417_9828653144_R02C02,GSE80417
GSE80417_9828653144_R03C01,GSE80417
GSE80417_9828653144_R03C02,GSE80417
GSE80417_9828653144_R04C01,GSE80417
GSE80417_9828653144_R04C02,GSE80417
GSE80417_9828653144_R05C02,GSE80417
GSE80417_9828653144_R06C01,GSE80417
GSE80417_9828653144_R06C02,GSE80417
GSE80417_9829119189_R01C01,GSE80417
GSE80417_9829119189_R01C02,GSE80417
GSE80417_9829119189_R02C02,GSE80417
GSE80417_9829119189_R03C01,GSE80417
GSE80417_9829119189_R04C02,GSE80417
GSE80417_9829119189_R05C01,GSE80417
GSE80417_9829119189_R05C02,GSE80417
GSE80417_9829119189_R06C01,GSE80417
GSE80417_9829119189_R06C02,GSE80417
GSE80417_9829119199_R01C01,GSE80417
GSE80417_9829119199_R01C02,GSE80417
GSE80417_9829119199_R02C02,GSE80417
GSE80417_9829119199_R03C01,GSE80417
GSE80417_9829119199_R04C02,GSE80417
GSE80417_9829119199_R05C01,GSE80417
GSE80417_9829119199_R06C01,GSE80417
GSE80417_9829119199_R06C02,GSE80417
GSE80417_9829119225_R01C01,GSE80417
GSE80417_9829119225_R01C02,GSE80417
GSE80417_9829119225_R02C01,GSE80417
GSE80417_9829119225_R02C02,GSE80417
GSE80417_9829119225_R03C01,GSE80417
GSE80417_9829119225_R03C02,GSE80417
GSE80417_9829119225_R04C01,GSE80417
GSE80417_9829119225_R04C02,GSE80417
GSE80417_9829119225_R05C01,GSE80417
GSE80417_9829119225_R05C02,GSE80417
GSE80417_9829119225_R06C01,GSE80417
GSE80417_9829119225_R06C02,GSE80417
GSE80417_9829119260_R01C01,GSE80417
GSE80417_9829119260_R01C02,GSE80417
GSE80417_9829119260_R02C02,GSE80417
GSE80417_9829119260_R03C01,GSE80417
GSE80417_9829119260_R03C02,GSE80417
GSE80417_9829119260_R04C02,GSE80417
GSE80417_9829119260_R05C02,GSE80417
GSE80417_9829119260_R06C01,GSE80417
GSE80417_9829119260_R06C02,GSE80417
GSE80417_9878827118_R02C02,GSE80417
GSE80417_9878827118_R03C01,GSE80417
GSE80417_9878827118_R03C02,GSE80417
GSE80417_9878827118_R04C01,GSE80417
