sample_id,ME0,ME1,ME2,ME3,ME4,ME5,ME6
GSE80417_9969489022_R03C02,-0.0331993702591535,-0.041571001117595,0.0135851076949141,-0.0081265637554451,0.0106183100955801,-0.0210427480234294,-0.00245268887795
GSE147221_200379120092_R02C01,-0.0131638799385742,-0.020175544920782,0.0105104293818369,-0.0146368750325526,0.0283007457265697,-0.0137647470870845,0.0096590191181685
GSE80417_9980092055_R01C01,-0.0057849860050757,-0.0143647527865734,0.0027684195896586,0.0049263837278973,-0.0151024503790776,-0.0039571606261946,-0.0463427799013047
GSE80417_9980092055_R03C02,-0.0064438159836863,-0.0103380732334342,-0.0094258422660996,0.0102448651641998,-0.017522293558554,-0.0002894054191147,9.45896111363505e-05
GSE84727_3998567004_R03C01,-0.010300663520663,-0.0006597512182608,-0.0126792440183726,0.0089150111711429,-0.0017146696652917,0.0040668620514904,-0.0063968207930597
GSE147221_200379120028_R03C01,-0.0376768161283597,-0.0433703125086547,0.0052582974829926,-0.0308010555978918,0.0370986945355012,-0.0455841293380236,-0.0221518459432625
GSE84727_101103430075_R03C02,-0.0071083186903506,-0.0176892005505638,0.0100538986484057,-0.0078184999229034,0.0106671187850351,-0.0168220606004872,0.0038777633251004
GSE147221_200049730116_R01C02,-0.0129345278789648,-0.0011054042641329,-0.0111935929476484,0.0166553735756026,-0.0206604520995748,0.0090650805808168,0.0069405741911771
GSE80417_9878827143_R06C02,-0.0297424344553937,-0.0268814638461917,0.016967180994783,-0.0314723195949349,0.045365718774036,-0.0329750957018563,0.0196652194449402
GSE84727_101103430155_R01C02,0.0563540297533426,0.0383517034589767,0.0247619993941836,-0.0142809383180012,0.0219773047587335,0.0201905161438705,-0.0011081821768731
GSE80417_9980092070_R01C02,0.0125543411876474,0.0138469023198587,-0.0313104327078031,0.0251568094752796,-0.020733230707453,0.0241847833779287,-0.0326436274844355
GSE80417_9769100109_R06C01,-0.0438851380364904,-0.0363833097238826,-0.0045840888170776,0.0089879061001663,0.0003481205765185,-0.0109173531762759,-0.0089994930726126
GSE152027_10003885059_R02C01,-0.0360405305805117,-0.0380058943472808,-0.0394415020251339,0.0352985822149838,-0.0225955379639027,0.0020511826456935,-0.0116004738467656
GSE84727_100973330068_R05C02,0.0161870620389985,0.040100217931125,0.0704175087636545,-0.0447800358758695,0.030080409204938,-0.0139519504738033,-0.0353930148702705
GSE80417_9980092098_R01C01,-0.0037844163740909,-0.0147682735461175,0.0141230071028413,-3.39644773680323e-06,-0.0102342173591999,-0.0055742076046459,-0.0024955170885364
